city,state,zip_code,total_sales,avg_sale_price,median_sale_price,avg_price_per_sqft,avg_specials_debt,pct_listings_with_specials,avg_days_on_market,avg_sale_to_list_pct,grant_eligible_count,grant_eligible_pct,shoreline_audit_required
Fargo,ND,58104,731,441177,375000,173.56,19799,92.2,64.8,98.3,367,50.2,11
West Fargo,ND,58078,688,405971,349900,167.85,21534,92.0,58.0,98.0,409,59.4,40
Moorhead,MN,56560,672,291207,269800,135.69,5686,64.3,60.1,97.3,563,83.8,10
Fargo,ND,58103,443,264892,260000,136.64,2803,77.7,51.3,96.9,383,86.5,5
Fargo,ND,58102,335,289902,265000,136.13,3592,81.8,64.0,95.5,278,83.0,4
Horace,ND,58047,213,425500,342900,178.79,31209,93.9,121.1,98.4,136,63.8,6
Dilworth,MN,56529,67,291387,264900,136.75,3711,55.2,49.8,97.0,53,79.1,2
Barnesville,MN,56514,65,269925,257000,119.17,6064,52.3,86.7,96.7,55,84.6,1
Lake Park,MN,56554,49,526594,395000,244.34,60,14.3,61.2,95.3,22,44.9,29
Hawley,MN,56549,46,353830,349000,152.96,1346,37.0,58.9,97.2,27,58.7,1
Mapleton,ND,58059,37,440486,380000,170.93,15696,83.8,58.1,98.7,18,48.6,2
Casselton,ND,58012,34,314437,300000,132.65,2737,85.3,42.1,98.1,25,73.5,0
Glyndon,MN,56547,27,414002,399900,170.01,16993,48.1,138.3,96.7,12,44.4,0
Kindred,ND,58051,25,446277,441000,158.99,12306,60.0,59.9,101.9,10,40.0,1
Sabin,MN,56580,21,361828,325000,147.8,618,23.8,64.8,96.1,13,61.9,2
Ada,MN,56510,20,135390,130000,58.3,148,5.0,85.3,92.1,20,100.0,0
Pelican Rapids,MN,56572,17,489433,525000,376.72,82,11.8,69.7,95.4,4,23.5,12
Audubon,MN,56511,16,678796,640000,375.76,10000,6.2,66.8,95.5,2,12.5,13
Harwood,ND,58042,12,433535,390000,169.1,6364,66.7,72.9,101.0,6,50.0,1
Rothsay,MN,56579,10,180930,170000,84.29,45,20.0,64.9,97.7,10,100.0,0
Oxbow,ND,58047,9,1067722,965000,219.09,251,11.1,51.0,97.0,0,0.0,1
Arthur,ND,58006,8,279750,315000,92.11,192,37.5,63.2,95.2,6,75.0,0
Leonard,ND,58052,8,310000,305000,115.71,0,0.0,62.9,93.6,6,75.0,1
Halstad,MN,56548,7,111214,115000,56.68,861,42.9,78.9,87.6,7,100.0,0
Reiles Acres,ND,58102,6,646312,695000,171.47,17810,100.0,104.5,99.9,0,0.0,0
Colfax,ND,58018,5,414479,435000,182.8,19191,80.0,106.2,96.9,1,20.0,0
Ulen,MN,56585,5,267590,215500,125.66,23789,20.0,68.2,97.5,3,60.0,0
Hendrum,MN,56550,5,179760,185000,90.8,0,0.0,82.0,100.9,5,100.0,0
Argusville,ND,58005,5,465980,520000,130.62,665,80.0,76.0,83.6,2,40.0,0
Abercrombie,ND,58001,5,353285,355452,172.27,0,0.0,25.0,99.3,4,80.0,0
Wolverton,MN,56594,5,247200,265000,106.83,193,20.0,16.5,102.3,5,100.0,0
Enderlin,ND,58027,4,240500,290000,135.72,0,0.0,135.0,92.3,4,100.0,0
West Fargo,ND,58047,4,406950,374900,171.58,27906,100.0,127.0,100.7,3,75.0,0
Buffalo,ND,58011,4,219875,204500,97.86,0,0.0,23.0,96.6,4,100.0,0
Borup,MN,56519,3,233000,249000,112.66,0,0.0,61.3,97.5,3,100.0,0
Tower City,ND,58071,3,206666,160000,81.84,0,0.0,33.7,95.0,3,100.0,0
Perley,MN,56574,3,187466,20000,58.44,147,33.3,93.3,98.6,2,66.7,0
Hunter,ND,58048,3,162333,160000,64.42,2801,66.7,123.0,89.8,3,100.0,0
Walcott,ND,58077,3,347500,350000,133.84,0,0.0,50.7,95.3,2,66.7,0
Davenport,ND,58021,3,455000,450000,148.66,0,0.0,72.3,94.7,1,33.3,0
Hitterdal,MN,56552,3,406333,370000,131.42,45,33.3,129.0,89.6,2,66.7,0
Twin Valley,MN,56584,3,258000,349000,105.54,0,0.0,57.7,98.6,3,100.0,0
Wheatland,ND,58079,3,530000,535000,140.02,0,0.0,123.3,85.7,1,33.3,0
Gardner,ND,58036,3,320666,332000,143.04,0,0.0,59.7,100.7,3,100.0,0
